تناوب,دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (میلیارد ریال),سهم از کل صنعت ٪
ماهانه,1401-09,آذر 1401,سبد گردان اقتصاد بیدار,درآمد ثابت,15102.4,0.239
ماهانه,1401-09,آذر 1401,سبد گردان اقتصاد بیدار,سهامی,3327.4,0.053
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,اختصاصی بازارگردانی,21091.9,0.334
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,تضمین اصل سرمایه,6596.7,0.104
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,درآمد ثابت,227660.4,3.601
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,سهامی,8731.5,0.138
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,سهامی - اهرمی,25445.5,0.402
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,سهامی - شاخصی,2082.5,0.033
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,صندوق در صندوق,867.2,0.014
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,مختلط,1049.3,0.017
ماهانه,1401-09,آذر 1401,سبد گردان کاریزما,کالایی (طلا و ...),6050.6,0.096
ماهانه,1401-09,آذر 1401,سبدگردان آگاه,اختصاصی بازارگردانی,18998.3,0.3
ماهانه,1401-09,آذر 1401,سبدگردان آگاه,درآمد ثابت,60000.7,0.949
ماهانه,1401-09,آذر 1401,سبدگردان آگاه,سهامی,24239.1,0.383
ماهانه,1401-09,آذر 1401,سبدگردان آگاه,مختلط,230.1,0.004
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2149.5,0.034
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,جسورانه,222.6,0.003
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,خصوصی,1086.9,0.017
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,درآمد ثابت,17184.3,0.272
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,سهامی,4792.6,0.076
ماهانه,1401-09,آذر 1401,سبدگردان توسعه فیروزه,سهامی - شاخصی,2341.7,0.037
ماهانه,1401-09,آذر 1401,سبدگردان فارابی,اختصاصی بازارگردانی,8599.9,0.136
ماهانه,1401-09,آذر 1401,سبدگردان فارابی,درآمد ثابت,18700.9,0.296
ماهانه,1401-09,آذر 1401,سبدگردان فارابی,سهامی,6039.1,0.096
ماهانه,1401-09,آذر 1401,سبدگردان مفید,اختصاصی بازارگردانی,4907.8,0.078
ماهانه,1401-09,آذر 1401,سبدگردان مفید,تضمین اصل سرمایه,2465.8,0.039
ماهانه,1401-09,آذر 1401,سبدگردان مفید,درآمد ثابت,201449.5,3.186
ماهانه,1401-09,آذر 1401,سبدگردان مفید,سهامی,102957.9,1.628
ماهانه,1401-09,آذر 1401,سبدگردان مفید,سهامی - اهرمی,8000.9,0.126
ماهانه,1401-09,آذر 1401,سبدگردان مفید,سهامی - شاخصی,3637.7,0.057
ماهانه,1401-09,آذر 1401,سبدگردان مفید,مختلط,3435.6,0.054
ماهانه,1401-09,آذر 1401,سبدگردان مفید,کالایی (طلا و ...),11425.0,0.181
ماهانه,1401-09,آذر 1401,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,13603.9,0.215
ماهانه,1401-09,آذر 1401,مشاور سرمایه گذاری ترنج,درآمد ثابت,75561.4,1.195
ماهانه,1401-09,آذر 1401,مشاور سرمایه گذاری ترنج,سهامی,7950.1,0.126
ماهانه,1401-09,آذر 1401,مشاور سرمایه گذاری ترنج,مختلط,2698.1,0.043
ماهانه,1401-10,دی 1401,سایر مدیران,اختصاصی بازارگردانی,1188714.5,18.164
ماهانه,1401-10,دی 1401,سایر مدیران,املاک و مستغلات,1661.3,0.025
ماهانه,1401-10,دی 1401,سایر مدیران,بازنشستگی تکمیلی,14938.6,0.228
ماهانه,1401-10,دی 1401,سایر مدیران,جسورانه,4103.8,0.063
ماهانه,1401-10,دی 1401,سایر مدیران,خصوصی,15038.8,0.23
ماهانه,1401-10,دی 1401,سایر مدیران,درآمد ثابت,3778902.9,57.742
ماهانه,1401-10,دی 1401,سایر مدیران,سهامی,151821.7,2.32
ماهانه,1401-10,دی 1401,سایر مدیران,سهامی - اهرمی,1532.8,0.023
ماهانه,1401-10,دی 1401,سایر مدیران,سهامی - بخشی,274469.3,4.194
ماهانه,1401-10,دی 1401,سایر مدیران,سهامی - شاخصی,12797.5,0.196
ماهانه,1401-10,دی 1401,سایر مدیران,صندوق در صندوق,2732.2,0.042
ماهانه,1401-10,دی 1401,سایر مدیران,مختلط,11225.1,0.172
ماهانه,1401-10,دی 1401,سایر مدیران,پروژه‌ای,10897.0,0.166
ماهانه,1401-10,دی 1401,سایر مدیران,کالایی (طلا و ...),69772.4,1.066
ماهانه,1401-10,دی 1401,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,1904.2,0.029
ماهانه,1401-10,دی 1401,سبد گردان اقتصاد بیدار,درآمد ثابت,16763.9,0.256
ماهانه,1401-10,دی 1401,سبد گردان اقتصاد بیدار,سهامی,3713.4,0.057
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,اختصاصی بازارگردانی,22886.7,0.35
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,تضمین اصل سرمایه,9255.7,0.141
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,درآمد ثابت,231248.3,3.533
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,سهامی,10182.9,0.156
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,سهامی - اهرمی,36092.9,0.552
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,سهامی - شاخصی,2335.5,0.036
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,صندوق در صندوق,980.3,0.015
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,مختلط,1182.9,0.018
ماهانه,1401-10,دی 1401,سبد گردان کاریزما,کالایی (طلا و ...),6602.3,0.101
ماهانه,1401-10,دی 1401,سبدگردان آگاه,اختصاصی بازارگردانی,19364.9,0.296
ماهانه,1401-10,دی 1401,سبدگردان آگاه,درآمد ثابت,61323.4,0.937
ماهانه,1401-10,دی 1401,سبدگردان آگاه,سهامی,28035.0,0.428
ماهانه,1401-10,دی 1401,سبدگردان آگاه,مختلط,253.9,0.004
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2401.3,0.037
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,جسورانه,224.8,0.003
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,خصوصی,1089.8,0.017
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,درآمد ثابت,16900.7,0.258
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,سهامی,5586.8,0.085
ماهانه,1401-10,دی 1401,سبدگردان توسعه فیروزه,سهامی - شاخصی,2639.7,0.04
ماهانه,1401-10,دی 1401,سبدگردان فارابی,اختصاصی بازارگردانی,10140.2,0.155
ماهانه,1401-10,دی 1401,سبدگردان فارابی,درآمد ثابت,29394.4,0.449
ماهانه,1401-10,دی 1401,سبدگردان فارابی,سهامی,7065.6,0.108
ماهانه,1401-10,دی 1401,سبدگردان مفید,اختصاصی بازارگردانی,5066.6,0.077
ماهانه,1401-10,دی 1401,سبدگردان مفید,تضمین اصل سرمایه,2712.2,0.041
ماهانه,1401-10,دی 1401,سبدگردان مفید,درآمد ثابت,211106.1,3.226
ماهانه,1401-10,دی 1401,سبدگردان مفید,سهامی,112215.6,1.715
ماهانه,1401-10,دی 1401,سبدگردان مفید,سهامی - اهرمی,13337.8,0.204
ماهانه,1401-10,دی 1401,سبدگردان مفید,سهامی - شاخصی,4448.5,0.068
ماهانه,1401-10,دی 1401,سبدگردان مفید,مختلط,3658.1,0.056
ماهانه,1401-10,دی 1401,سبدگردان مفید,کالایی (طلا و ...),12261.0,0.187
ماهانه,1401-10,دی 1401,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,16055.9,0.245
ماهانه,1401-10,دی 1401,مشاور سرمایه گذاری ترنج,درآمد ثابت,81730.7,1.249
ماهانه,1401-10,دی 1401,مشاور سرمایه گذاری ترنج,سهامی,9940.6,0.152
ماهانه,1401-10,دی 1401,مشاور سرمایه گذاری ترنج,صندوق در صندوق,2022.9,0.031
ماهانه,1401-10,دی 1401,مشاور سرمایه گذاری ترنج,مختلط,3694.3,0.056
ماهانه,1401-11,بهمن 1401,سایر مدیران,اختصاصی بازارگردانی,1089391.7,17.028
ماهانه,1401-11,بهمن 1401,سایر مدیران,املاک و مستغلات,1667.1,0.026
ماهانه,1401-11,بهمن 1401,سایر مدیران,بازنشستگی تکمیلی,13194.4,0.206
ماهانه,1401-11,بهمن 1401,سایر مدیران,جسورانه,4269.2,0.067
ماهانه,1401-11,بهمن 1401,سایر مدیران,خصوصی,14977.5,0.234
ماهانه,1401-11,بهمن 1401,سایر مدیران,درآمد ثابت,3761997.5,58.803
ماهانه,1401-11,بهمن 1401,سایر مدیران,سهامی,136673.2,2.136
ماهانه,1401-11,بهمن 1401,سایر مدیران,سهامی - اهرمی,1370.7,0.021
ماهانه,1401-11,بهمن 1401,سایر مدیران,سهامی - بخشی,231037.8,3.611
ماهانه,1401-11,بهمن 1401,سایر مدیران,سهامی - شاخصی,10975.0,0.172
ماهانه,1401-11,بهمن 1401,سایر مدیران,صندوق در صندوق,2681.9,0.042
ماهانه,1401-11,بهمن 1401,سایر مدیران,مختلط,10851.5,0.17
ماهانه,1401-11,بهمن 1401,سایر مدیران,پروژه‌ای,10896.5,0.17
ماهانه,1401-11,بهمن 1401,سایر مدیران,کالایی (طلا و ...),97649.9,1.526
ماهانه,1401-11,بهمن 1401,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,2089.3,0.033
ماهانه,1401-11,بهمن 1401,سبد گردان اقتصاد بیدار,درآمد ثابت,24574.9,0.384
ماهانه,1401-11,بهمن 1401,سبد گردان اقتصاد بیدار,سهامی,3476.6,0.054
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,اختصاصی بازارگردانی,20939.7,0.327
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,تضمین اصل سرمایه,8674.6,0.136
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,درآمد ثابت,231607.1,3.62
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,سهامی,9382.8,0.147
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,سهامی - اهرمی,37694.2,0.589
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,سهامی - شاخصی,2111.8,0.033
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,صندوق در صندوق,932.2,0.015
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,مختلط,1124.6,0.018
ماهانه,1401-11,بهمن 1401,سبد گردان کاریزما,کالایی (طلا و ...),9490.6,0.148
ماهانه,1401-11,بهمن 1401,سبدگردان آگاه,اختصاصی بازارگردانی,17272.9,0.27
ماهانه,1401-11,بهمن 1401,سبدگردان آگاه,درآمد ثابت,55749.6,0.871
ماهانه,1401-11,بهمن 1401,سبدگردان آگاه,سهامی,25583.4,0.4
ماهانه,1401-11,بهمن 1401,سبدگردان آگاه,سهامی - بخشی,4010.0,0.063
ماهانه,1401-11,بهمن 1401,سبدگردان آگاه,مختلط,240.0,0.004
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2093.5,0.033
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,جسورانه,227.5,0.004
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,خصوصی,1091.7,0.017
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,درآمد ثابت,20843.3,0.326
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,سهامی,5674.5,0.089
ماهانه,1401-11,بهمن 1401,سبدگردان توسعه فیروزه,سهامی - شاخصی,2275.2,0.036
ماهانه,1401-11,بهمن 1401,سبدگردان فارابی,اختصاصی بازارگردانی,9477.0,0.148
ماهانه,1401-11,بهمن 1401,سبدگردان فارابی,درآمد ثابت,34401.6,0.538
ماهانه,1401-11,بهمن 1401,سبدگردان فارابی,سهامی,6288.3,0.098
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,اختصاصی بازارگردانی,4556.2,0.071
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,تضمین اصل سرمایه,2342.6,0.037
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,درآمد ثابت,211802.6,3.311
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,سهامی,101802.8,1.591
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,سهامی - اهرمی,12900.5,0.202
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,سهامی - شاخصی,4022.9,0.063
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,مختلط,3533.7,0.055
ماهانه,1401-11,بهمن 1401,سبدگردان مفید,کالایی (طلا و ...),18434.2,0.288
ماهانه,1401-11,بهمن 1401,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,7151.0,0.112
ماهانه,1401-11,بهمن 1401,مشاور سرمایه گذاری ترنج,درآمد ثابت,91476.7,1.43
ماهانه,1401-11,بهمن 1401,مشاور سرمایه گذاری ترنج,سهامی,8779.6,0.137
ماهانه,1401-11,بهمن 1401,مشاور سرمایه گذاری ترنج,صندوق در صندوق,1842.6,0.029
ماهانه,1401-11,بهمن 1401,مشاور سرمایه گذاری ترنج,مختلط,4007.6,0.063
ماهانه,1401-12,اسفند 1401,سایر مدیران,اختصاصی بازارگردانی,1280105.0,18.448
ماهانه,1401-12,اسفند 1401,سایر مدیران,املاک و مستغلات,1669.4,0.024
ماهانه,1401-12,اسفند 1401,سایر مدیران,بازنشستگی تکمیلی,17025.1,0.245
ماهانه,1401-12,اسفند 1401,سایر مدیران,جسورانه,3249.1,0.047
ماهانه,1401-12,اسفند 1401,سایر مدیران,خصوصی,15683.7,0.226
ماهانه,1401-12,اسفند 1401,سایر مدیران,درآمد ثابت,3870703.8,55.78
ماهانه,1401-12,اسفند 1401,سایر مدیران,سهامی,181135.4,2.61
ماهانه,1401-12,اسفند 1401,سایر مدیران,سهامی - اهرمی,1632.6,0.024
ماهانه,1401-12,اسفند 1401,سایر مدیران,سهامی - بخشی,277453.8,3.998
ماهانه,1401-12,اسفند 1401,سایر مدیران,سهامی - شاخصی,20858.5,0.301
ماهانه,1401-12,اسفند 1401,سایر مدیران,صندوق در صندوق,3067.3,0.044
ماهانه,1401-12,اسفند 1401,سایر مدیران,مختلط,12720.5,0.183
ماهانه,1401-12,اسفند 1401,سایر مدیران,پروژه‌ای,11262.6,0.162
ماهانه,1401-12,اسفند 1401,سایر مدیران,کالایی (طلا و ...),101871.3,1.468
ماهانه,1401-12,اسفند 1401,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,2578.6,0.037
ماهانه,1401-12,اسفند 1401,سبد گردان اقتصاد بیدار,درآمد ثابت,35095.6,0.506
ماهانه,1401-12,اسفند 1401,سبد گردان اقتصاد بیدار,سهامی,4805.6,0.069
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,اختصاصی بازارگردانی,26038.6,0.375
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,تضمین اصل سرمایه,11759.6,0.169
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,درآمد ثابت,213755.0,3.08
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,سهامی,18286.7,0.264
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,سهامی - اهرمی,55174.8,0.795
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,سهامی - شاخصی,2801.0,0.04
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,صندوق در صندوق,1066.3,0.015
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,مختلط,1365.7,0.02
ماهانه,1401-12,اسفند 1401,سبد گردان کاریزما,کالایی (طلا و ...),10308.2,0.149
ماهانه,1401-12,اسفند 1401,سبدگردان آگاه,اختصاصی بازارگردانی,17628.0,0.254
ماهانه,1401-12,اسفند 1401,سبدگردان آگاه,درآمد ثابت,55730.6,0.803
ماهانه,1401-12,اسفند 1401,سبدگردان آگاه,سهامی,39574.8,0.57
ماهانه,1401-12,اسفند 1401,سبدگردان آگاه,سهامی - بخشی,11845.3,0.171
ماهانه,1401-12,اسفند 1401,سبدگردان آگاه,مختلط,282.9,0.004
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2410.4,0.035
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,جسورانه,229.3,0.003
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,خصوصی,1106.8,0.016
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,درآمد ثابت,20311.0,0.293
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,سهامی,8672.4,0.125
ماهانه,1401-12,اسفند 1401,سبدگردان توسعه فیروزه,سهامی - شاخصی,4438.7,0.064
ماهانه,1401-12,اسفند 1401,سبدگردان فارابی,اختصاصی بازارگردانی,11428.9,0.165
ماهانه,1401-12,اسفند 1401,سبدگردان فارابی,درآمد ثابت,27967.6,0.403
ماهانه,1401-12,اسفند 1401,سبدگردان فارابی,سهامی,9090.0,0.131
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,اختصاصی بازارگردانی,5014.4,0.072
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,تضمین اصل سرمایه,2832.5,0.041
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,درآمد ثابت,199065.2,2.869
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,سهامی,137692.2,1.984
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,سهامی - اهرمی,23279.2,0.335
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,سهامی - شاخصی,8165.4,0.118
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,مختلط,4142.8,0.06
ماهانه,1401-12,اسفند 1401,سبدگردان مفید,کالایی (طلا و ...),20541.2,0.296
ماهانه,1401-12,اسفند 1401,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,14248.8,0.205
ماهانه,1401-12,اسفند 1401,مشاور سرمایه گذاری ترنج,درآمد ثابت,106448.2,1.534
ماهانه,1401-12,اسفند 1401,مشاور سرمایه گذاری ترنج,سهامی,15770.5,0.227
ماهانه,1401-12,اسفند 1401,مشاور سرمایه گذاری ترنج,صندوق در صندوق,3967.5,0.057
ماهانه,1401-12,اسفند 1401,مشاور سرمایه گذاری ترنج,مختلط,5813.2,0.084
ماهانه,1402-01,فروردین 1402,سایر مدیران,اختصاصی بازارگردانی,1615239.0,20.844
ماهانه,1402-01,فروردین 1402,سایر مدیران,املاک و مستغلات,1924.7,0.025
ماهانه,1402-01,فروردین 1402,سایر مدیران,بازنشستگی تکمیلی,20585.4,0.266
ماهانه,1402-01,فروردین 1402,سایر مدیران,جسورانه,3459.2,0.045
ماهانه,1402-01,فروردین 1402,سایر مدیران,خصوصی,16335.5,0.211
ماهانه,1402-01,فروردین 1402,سایر مدیران,درآمد ثابت,4039831.8,52.133
ماهانه,1402-01,فروردین 1402,سایر مدیران,سهامی,223022.6,2.878
ماهانه,1402-01,فروردین 1402,سایر مدیران,سهامی - اهرمی,1973.1,0.026
ماهانه,1402-01,فروردین 1402,سایر مدیران,سهامی - بخشی,324204.5,4.184
ماهانه,1402-01,فروردین 1402,سایر مدیران,سهامی - شاخصی,28849.8,0.372
ماهانه,1402-01,فروردین 1402,سایر مدیران,صندوق در صندوق,3313.1,0.043
ماهانه,1402-01,فروردین 1402,سایر مدیران,مختلط,14298.6,0.184
ماهانه,1402-01,فروردین 1402,سایر مدیران,پروژه‌ای,11262.1,0.145
ماهانه,1402-01,فروردین 1402,سایر مدیران,کالایی (طلا و ...),105657.2,1.364
ماهانه,1402-01,فروردین 1402,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,3109.6,0.04
ماهانه,1402-01,فروردین 1402,سبد گردان اقتصاد بیدار,درآمد ثابت,34063.6,0.44
ماهانه,1402-01,فروردین 1402,سبد گردان اقتصاد بیدار,سهامی,5950.0,0.077
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,اختصاصی بازارگردانی,37103.1,0.479
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,تضمین اصل سرمایه,19385.8,0.25
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,درآمد ثابت,231838.0,2.992
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,سهامی,22849.0,0.295
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,سهامی - اهرمی,78282.0,1.01
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,سهامی - شاخصی,4072.1,0.053
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,صندوق در صندوق,1242.5,0.016
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,مختلط,1714.1,0.022
ماهانه,1402-01,فروردین 1402,سبد گردان کاریزما,کالایی (طلا و ...),11849.5,0.153
ماهانه,1402-01,فروردین 1402,سبدگردان آگاه,اختصاصی بازارگردانی,22031.1,0.284
ماهانه,1402-01,فروردین 1402,سبدگردان آگاه,درآمد ثابت,53253.0,0.687
ماهانه,1402-01,فروردین 1402,سبدگردان آگاه,سهامی,46155.6,0.596
ماهانه,1402-01,فروردین 1402,سبدگردان آگاه,سهامی - بخشی,12916.0,0.167
ماهانه,1402-01,فروردین 1402,سبدگردان آگاه,مختلط,320.7,0.004
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2873.1,0.037
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,جسورانه,230.2,0.003
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,خصوصی,812.9,0.01
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,درآمد ثابت,27195.5,0.351
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,سهامی,12529.6,0.162
ماهانه,1402-01,فروردین 1402,سبدگردان توسعه فیروزه,سهامی - شاخصی,5115.2,0.066
ماهانه,1402-01,فروردین 1402,سبدگردان فارابی,اختصاصی بازارگردانی,14450.2,0.186
ماهانه,1402-01,فروردین 1402,سبدگردان فارابی,درآمد ثابت,32438.0,0.419
ماهانه,1402-01,فروردین 1402,سبدگردان فارابی,سهامی,11479.9,0.148
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,اختصاصی بازارگردانی,5502.8,0.071
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,تضمین اصل سرمایه,4168.7,0.054
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,درآمد ثابت,232095.4,2.995
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,سهامی,165590.4,2.137
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,سهامی - اهرمی,35202.8,0.454
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,سهامی - شاخصی,10298.7,0.133
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,مختلط,4385.7,0.057
ماهانه,1402-01,فروردین 1402,سبدگردان مفید,کالایی (طلا و ...),23103.0,0.298
ماهانه,1402-01,فروردین 1402,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,17726.7,0.229
ماهانه,1402-01,فروردین 1402,مشاور سرمایه گذاری ترنج,درآمد ثابت,114086.8,1.472
ماهانه,1402-01,فروردین 1402,مشاور سرمایه گذاری ترنج,سهامی,20496.1,0.264
ماهانه,1402-01,فروردین 1402,مشاور سرمایه گذاری ترنج,صندوق در صندوق,5986.7,0.077
ماهانه,1402-01,فروردین 1402,مشاور سرمایه گذاری ترنج,مختلط,7180.4,0.093
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,اختصاصی بازارگردانی,1743884.2,21.862
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,املاک و مستغلات,1680.9,0.021
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,بازنشستگی تکمیلی,19876.3,0.249
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,جسورانه,3509.8,0.044
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,خصوصی,16522.6,0.207
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,درآمد ثابت,4022519.2,50.427
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,سهامی,226477.6,2.839
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,سهامی - اهرمی,1914.9,0.024
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,سهامی - بخشی,347672.1,4.358
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,سهامی - شاخصی,29864.9,0.374
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,صندوق در صندوق,3392.6,0.042
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,مختلط,14714.5,0.184
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,پروژه‌ای,11261.6,0.141
ماهانه,1402-02,اردیبهشت 1402,سایر مدیران,کالایی (طلا و ...),122444.1,1.535
ماهانه,1402-02,اردیبهشت 1402,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,3622.4,0.045
ماهانه,1402-02,اردیبهشت 1402,سبد گردان اقتصاد بیدار,درآمد ثابت,30835.7,0.387
ماهانه,1402-02,اردیبهشت 1402,سبد گردان اقتصاد بیدار,سهامی,6749.4,0.085
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,اختصاصی بازارگردانی,38583.9,0.484
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,تضمین اصل سرمایه,21575.4,0.27
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,درآمد ثابت,270303.3,3.389
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,سهامی,22914.3,0.287
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,سهامی - اهرمی,79139.5,0.992
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,سهامی - شاخصی,4093.0,0.051
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,صندوق در صندوق,1180.6,0.015
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,مختلط,1692.1,0.021
ماهانه,1402-02,اردیبهشت 1402,سبد گردان کاریزما,کالایی (طلا و ...),19350.3,0.243
ماهانه,1402-02,اردیبهشت 1402,سبدگردان آگاه,اختصاصی بازارگردانی,22871.9,0.287
ماهانه,1402-02,اردیبهشت 1402,سبدگردان آگاه,درآمد ثابت,54620.4,0.685
ماهانه,1402-02,اردیبهشت 1402,سبدگردان آگاه,سهامی,44106.6,0.553
ماهانه,1402-02,اردیبهشت 1402,سبدگردان آگاه,سهامی - بخشی,11891.2,0.149
ماهانه,1402-02,اردیبهشت 1402,سبدگردان آگاه,مختلط,319.4,0.004
ماهانه,1402-02,اردیبهشت 1402,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,2799.6,0.035
ماهانه,1402-02,اردیبهشت 1402,سبدگردان توسعه فیروزه,جسورانه,236.5,0.003
ماهانه,1402-02,اردیبهشت 1402,سبدگردان توسعه فیروزه,خصوصی,820.1,0.01
ماهانه,1402-02,اردیبهشت 1402,سبدگردان توسعه فیروزه,درآمد ثابت,21560.3,0.27
ماهانه,1402-02,اردیبهشت 1402,سبدگردان توسعه فیروزه,سهامی,12771.6,0.16
