تناوب,دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (میلیارد ریال),سهم از کل صنعت ٪
ماهانه,1399-02,اردیبهشت 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,1801.8,0.074
ماهانه,1399-02,اردیبهشت 1399,سبدگردان فارابی,اختصاصی بازارگردانی,363.0,0.015
ماهانه,1399-02,اردیبهشت 1399,سبدگردان فارابی,درآمد ثابت,4434.8,0.181
ماهانه,1399-02,اردیبهشت 1399,سبدگردان فارابی,سهامی,4885.8,0.2
ماهانه,1399-02,اردیبهشت 1399,سبدگردان مفید,اختصاصی بازارگردانی,986.6,0.04
ماهانه,1399-02,اردیبهشت 1399,سبدگردان مفید,درآمد ثابت,51222.3,2.093
ماهانه,1399-02,اردیبهشت 1399,سبدگردان مفید,سهامی,48833.6,1.996
ماهانه,1399-02,اردیبهشت 1399,سبدگردان مفید,مختلط,2281.2,0.093
ماهانه,1399-02,اردیبهشت 1399,سبدگردان مفید,کالایی (طلا و ...),1977.7,0.081
ماهانه,1399-02,اردیبهشت 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1069.3,0.044
ماهانه,1399-02,اردیبهشت 1399,مشاور سرمایه گذاری ترنج,سهامی,4729.0,0.193
ماهانه,1399-03,خرداد 1399,سایر مدیران,اختصاصی بازارگردانی,141222.3,5.274
ماهانه,1399-03,خرداد 1399,سایر مدیران,بازنشستگی تکمیلی,12784.6,0.478
ماهانه,1399-03,خرداد 1399,سایر مدیران,جسورانه,783.8,0.029
ماهانه,1399-03,خرداد 1399,سایر مدیران,خصوصی,500.0,0.019
ماهانه,1399-03,خرداد 1399,سایر مدیران,درآمد ثابت,2021937.8,75.514
ماهانه,1399-03,خرداد 1399,سایر مدیران,سهامی,200694.6,7.495
ماهانه,1399-03,خرداد 1399,سایر مدیران,سهامی - اهرمی,2790.2,0.104
ماهانه,1399-03,خرداد 1399,سایر مدیران,سهامی - بخشی,2556.8,0.096
ماهانه,1399-03,خرداد 1399,سایر مدیران,سهامی - شاخصی,5089.8,0.19
ماهانه,1399-03,خرداد 1399,سایر مدیران,صندوق در صندوق,708.5,0.026
ماهانه,1399-03,خرداد 1399,سایر مدیران,مختلط,18579.3,0.694
ماهانه,1399-03,خرداد 1399,سایر مدیران,پروژه‌ای,9947.7,0.372
ماهانه,1399-03,خرداد 1399,سایر مدیران,کالایی (طلا و ...),21844.3,0.816
ماهانه,1399-03,خرداد 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,1127.2,0.042
ماهانه,1399-03,خرداد 1399,سبد گردان کاریزما,درآمد ثابت,38696.4,1.445
ماهانه,1399-03,خرداد 1399,سبد گردان کاریزما,سهامی,7976.4,0.298
ماهانه,1399-03,خرداد 1399,سبد گردان کاریزما,سهامی - شاخصی,2542.1,0.095
ماهانه,1399-03,خرداد 1399,سبدگردان آگاه,درآمد ثابت,5352.4,0.2
ماهانه,1399-03,خرداد 1399,سبدگردان آگاه,سهامی,26451.9,0.988
ماهانه,1399-03,خرداد 1399,سبدگردان آگاه,مختلط,112.2,0.004
ماهانه,1399-03,خرداد 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,25.3,0.001
ماهانه,1399-03,خرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1831.2,0.068
ماهانه,1399-03,خرداد 1399,سبدگردان توسعه فیروزه,سهامی,1349.8,0.05
ماهانه,1399-03,خرداد 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,2169.4,0.081
ماهانه,1399-03,خرداد 1399,سبدگردان فارابی,اختصاصی بازارگردانی,433.4,0.016
ماهانه,1399-03,خرداد 1399,سبدگردان فارابی,درآمد ثابت,4596.3,0.172
ماهانه,1399-03,خرداد 1399,سبدگردان فارابی,سهامی,6711.5,0.251
ماهانه,1399-03,خرداد 1399,سبدگردان مفید,اختصاصی بازارگردانی,1242.2,0.046
ماهانه,1399-03,خرداد 1399,سبدگردان مفید,درآمد ثابت,61862.0,2.31
ماهانه,1399-03,خرداد 1399,سبدگردان مفید,سهامی,64760.3,2.419
ماهانه,1399-03,خرداد 1399,سبدگردان مفید,مختلط,2500.0,0.093
ماهانه,1399-03,خرداد 1399,سبدگردان مفید,کالایی (طلا و ...),2057.4,0.077
ماهانه,1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1102.9,0.041
ماهانه,1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,سهامی,5222.5,0.195
ماهانه,1399-04,تیر 1399,سایر مدیران,اختصاصی بازارگردانی,185725.4,5.743
ماهانه,1399-04,تیر 1399,سایر مدیران,بازنشستگی تکمیلی,26439.7,0.818
ماهانه,1399-04,تیر 1399,سایر مدیران,جسورانه,783.9,0.024
ماهانه,1399-04,تیر 1399,سایر مدیران,خصوصی,497.4,0.015
ماهانه,1399-04,تیر 1399,سایر مدیران,درآمد ثابت,2095214.6,64.79
ماهانه,1399-04,تیر 1399,سایر مدیران,سهامی,316470.7,9.786
ماهانه,1399-04,تیر 1399,سایر مدیران,سهامی - اهرمی,3856.3,0.119
ماهانه,1399-04,تیر 1399,سایر مدیران,سهامی - بخشی,181479.9,5.612
ماهانه,1399-04,تیر 1399,سایر مدیران,سهامی - شاخصی,9364.7,0.29
ماهانه,1399-04,تیر 1399,سایر مدیران,صندوق در صندوق,813.0,0.025
ماهانه,1399-04,تیر 1399,سایر مدیران,مختلط,32718.7,1.012
ماهانه,1399-04,تیر 1399,سایر مدیران,پروژه‌ای,9953.1,0.308
ماهانه,1399-04,تیر 1399,سایر مدیران,کالایی (طلا و ...),31651.1,0.979
ماهانه,1399-04,تیر 1399,سبد گردان اقتصاد بیدار,سهامی,4370.4,0.135
ماهانه,1399-04,تیر 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,1368.2,0.042
ماهانه,1399-04,تیر 1399,سبد گردان کاریزما,درآمد ثابت,48672.9,1.505
ماهانه,1399-04,تیر 1399,سبد گردان کاریزما,سهامی,10750.9,0.332
ماهانه,1399-04,تیر 1399,سبد گردان کاریزما,سهامی - شاخصی,4106.8,0.127
ماهانه,1399-04,تیر 1399,سبدگردان آگاه,اختصاصی بازارگردانی,972.3,0.03
ماهانه,1399-04,تیر 1399,سبدگردان آگاه,درآمد ثابت,5361.9,0.166
ماهانه,1399-04,تیر 1399,سبدگردان آگاه,سهامی,35546.4,1.099
