دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (ریال),سهم از کل صنعت
1399-03,خرداد 1399,سایر مدیران,مختلط,18579284486409,0.007333
1399-03,خرداد 1399,سایر مدیران,پروژه‌ای,9947717806193,0.003926
1399-03,خرداد 1399,سایر مدیران,کالایی,21844255221531,0.008622
1399-03,خرداد 1399,سبد گردان کاریزما,درآمد ثابت,38696388486670,0.015274
1399-03,خرداد 1399,سبد گردان کاریزما,سهامی,7976397951727,0.003148
1399-03,خرداد 1399,سبد گردان کاریزما,شاخصی,2542119783787,0.001003
1399-03,خرداد 1399,سبدگردان آگاه,درآمد ثابت,5352359252470,0.002113
1399-03,خرداد 1399,سبدگردان آگاه,سهامی,26451856548270,0.010441
1399-03,خرداد 1399,سبدگردان آگاه,مختلط,112196656372,4.4e-05
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1831196480006,0.000723
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,سهامی,1349792542175,0.000533
1399-03,خرداد 1399,سبدگردان توسعه فیروزه,شاخصی,2169373384509,0.000856
1399-03,خرداد 1399,سبدگردان فارابی,درآمد ثابت,4596289319590,0.001814
1399-03,خرداد 1399,سبدگردان فارابی,سهامی,6711526587523,0.002649
1399-03,خرداد 1399,سبدگردان مفید,درآمد ثابت,61862039088983,0.024418
1399-03,خرداد 1399,سبدگردان مفید,سهامی,64760293354079,0.025561
1399-03,خرداد 1399,سبدگردان مفید,مختلط,2500017247124,0.000987
1399-03,خرداد 1399,سبدگردان مفید,کالایی,2057354499102,0.000812
1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1102910502443,0.000435
1399-03,خرداد 1399,مشاور سرمایه گذاری ترنج,سهامی,5222451916255,0.002061
1399-04,تیر 1399,سایر مدیران,اهرمی,3856267135016,0.001267
1399-04,تیر 1399,سایر مدیران,بازنشستگی,26439695858098,0.008688
1399-04,تیر 1399,سایر مدیران,بخشی,181479909984546,0.059631
1399-04,تیر 1399,سایر مدیران,جسورانه,783894647590,0.000258
1399-04,تیر 1399,سایر مدیران,خصوصی,497394361968,0.000163
1399-04,تیر 1399,سایر مدیران,درآمد ثابت,2095214551661047,0.688447
1399-04,تیر 1399,سایر مدیران,سهامی,316470723849194,0.103986
1399-04,تیر 1399,سایر مدیران,شاخصی,9364661778453,0.003077
1399-04,تیر 1399,سایر مدیران,صندوق در صندوق,813001753587,0.000267
1399-04,تیر 1399,سایر مدیران,مختلط,32718727578136,0.010751
1399-04,تیر 1399,سایر مدیران,پروژه‌ای,9953051387241,0.00327
1399-04,تیر 1399,سایر مدیران,کالایی,31651089210882,0.0104
1399-04,تیر 1399,سبد گردان اقتصاد بیدار,سهامی,4370371899766,0.001436
1399-04,تیر 1399,سبد گردان کاریزما,درآمد ثابت,48672853253077,0.015993
1399-04,تیر 1399,سبد گردان کاریزما,سهامی,10750896645733,0.003533
1399-04,تیر 1399,سبد گردان کاریزما,شاخصی,4106759566943,0.001349
1399-04,تیر 1399,سبدگردان آگاه,درآمد ثابت,5361948870625,0.001762
1399-04,تیر 1399,سبدگردان آگاه,سهامی,35546447468506,0.01168
1399-04,تیر 1399,سبدگردان آگاه,مختلط,153494771906,5e-05
1399-04,تیر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1868293025500,0.000614
1399-04,تیر 1399,سبدگردان توسعه فیروزه,سهامی,1685418444570,0.000554
1399-04,تیر 1399,سبدگردان توسعه فیروزه,شاخصی,4058952218559,0.001334
1399-04,تیر 1399,سبدگردان فارابی,درآمد ثابت,4774370550939,0.001569
1399-04,تیر 1399,سبدگردان فارابی,سهامی,10286849762441,0.00338
1399-04,تیر 1399,سبدگردان مفید,درآمد ثابت,86846311616640,0.028536
1399-04,تیر 1399,سبدگردان مفید,سهامی,102120189354545,0.033555
1399-04,تیر 1399,سبدگردان مفید,مختلط,2969006619234,0.000976
1399-04,تیر 1399,سبدگردان مفید,کالایی,2662906563522,0.000875
1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1104393442097,0.000363
1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,سهامی,6809806605750,0.002238
1399-05,مرداد 1399,سایر مدیران,اهرمی,3406130523394,0.001098
1399-05,مرداد 1399,سایر مدیران,بازنشستگی,26947658658770,0.008685
1399-05,مرداد 1399,سایر مدیران,بخشی,161282712163479,0.051979
1399-05,مرداد 1399,سایر مدیران,جسورانه,782852904622,0.000252
1399-05,مرداد 1399,سایر مدیران,خصوصی,502017139850,0.000162
1399-05,مرداد 1399,سایر مدیران,درآمد ثابت,2186788125802732,0.704773
1399-05,مرداد 1399,سایر مدیران,سهامی,299702295735965,0.09659
1399-05,مرداد 1399,سایر مدیران,شاخصی,8895014366348,0.002867
1399-05,مرداد 1399,سایر مدیران,صندوق در صندوق,786105624121,0.000253
1399-05,مرداد 1399,سایر مدیران,مختلط,35505464688564,0.011443
1399-05,مرداد 1399,سایر مدیران,پروژه‌ای,9952823400979,0.003208
1399-05,مرداد 1399,سایر مدیران,کالایی,30505428215934,0.009831
1399-05,مرداد 1399,سبد گردان اقتصاد بیدار,سهامی,4324446009753,0.001394
1399-05,مرداد 1399,سبد گردان کاریزما,درآمد ثابت,70200150089604,0.022625
1399-05,مرداد 1399,سبد گردان کاریزما,سهامی,10201988660727,0.003288
1399-05,مرداد 1399,سبد گردان کاریزما,شاخصی,3440990791598,0.001109
1399-05,مرداد 1399,سبدگردان آگاه,درآمد ثابت,5405491546424,0.001742
1399-05,مرداد 1399,سبدگردان آگاه,سهامی,27387838859190,0.008827
1399-05,مرداد 1399,سبدگردان آگاه,مختلط,161012628800,5.2e-05
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,جسورانه,52467704688,1.7e-05
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1888669330962,0.000609
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,سهامی,1747406605004,0.000563
1399-05,مرداد 1399,سبدگردان توسعه فیروزه,شاخصی,3577674848068,0.001153
1399-05,مرداد 1399,سبدگردان فارابی,درآمد ثابت,6974433706011,0.002248
1399-05,مرداد 1399,سبدگردان فارابی,سهامی,8199517687916,0.002643
1399-05,مرداد 1399,سبدگردان مفید,درآمد ثابت,89953242347588,0.028991
1399-05,مرداد 1399,سبدگردان مفید,سهامی,91926033284352,0.029627
1399-05,مرداد 1399,سبدگردان مفید,مختلط,2811013380084,0.000906
1399-05,مرداد 1399,سبدگردان مفید,کالایی,2792719779155,0.0009
1399-05,مرداد 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1671207232532,0.000539
1399-05,مرداد 1399,مشاور سرمایه گذاری ترنج,سهامی,5053722783134,0.001629
1399-06,شهریور 1399,سایر مدیران,اهرمی,2860401923856,0.000904
1399-06,شهریور 1399,سایر مدیران,بازنشستگی,23400990112349,0.007393
1399-06,شهریور 1399,سایر مدیران,بخشی,152456962952515,0.048167
1399-06,شهریور 1399,سایر مدیران,جسورانه,780221871011,0.000246
1399-06,شهریور 1399,سایر مدیران,خصوصی,501683048484,0.000158
1399-06,شهریور 1399,سایر مدیران,درآمد ثابت,2247431596819843,0.710044
1399-06,شهریور 1399,سایر مدیران,سهامی,234116685478013,0.073966
1399-06,شهریور 1399,سایر مدیران,شاخصی,8323131477529,0.00263
1399-06,شهریور 1399,سایر مدیران,صندوق در صندوق,763570975623,0.000241
1399-06,شهریور 1399,سایر مدیران,مختلط,27467299713885,0.008678
1399-06,شهریور 1399,سایر مدیران,پروژه‌ای,10358353397775,0.003273
1399-06,شهریور 1399,سایر مدیران,کالایی,34733711796581,0.010974
1399-06,شهریور 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,245602679725,7.8e-05
1399-06,شهریور 1399,سبد گردان اقتصاد بیدار,سهامی,4350291012260,0.001374
1399-06,شهریور 1399,سبد گردان کاریزما,درآمد ثابت,81575185204541,0.025773
1399-06,شهریور 1399,سبد گردان کاریزما,سهامی,9336913379040,0.00295
1399-06,شهریور 1399,سبد گردان کاریزما,شاخصی,3346173103123,0.001057
1399-06,شهریور 1399,سبدگردان آگاه,درآمد ثابت,19951225099182,0.006303
1399-06,شهریور 1399,سبدگردان آگاه,سهامی,25599190875464,0.008088
1399-06,شهریور 1399,سبدگردان آگاه,مختلط,167543844170,5.3e-05
1399-06,شهریور 1399,سبدگردان توسعه فیروزه,جسورانه,52770753440,1.7e-05
1399-06,شهریور 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1936754279267,0.000612
1399-06,شهریور 1399,سبدگردان توسعه فیروزه,سهامی,1386388829750,0.000438
1399-06,شهریور 1399,سبدگردان توسعه فیروزه,شاخصی,3844515054337,0.001215
1399-06,شهریور 1399,سبدگردان فارابی,درآمد ثابت,9531988704723,0.003011
1399-06,شهریور 1399,سبدگردان فارابی,سهامی,4872903659663,0.00154
1399-06,شهریور 1399,سبدگردان مفید,درآمد ثابت,160119692572379,0.050588
1399-06,شهریور 1399,سبدگردان مفید,سهامی,82581422511828,0.02609
1399-06,شهریور 1399,سبدگردان مفید,مختلط,3227597707297,0.00102
1399-06,شهریور 1399,سبدگردان مفید,کالایی,3308343045287,0.001045
1399-06,شهریور 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1300282847177,0.000411
1399-06,شهریور 1399,مشاور سرمایه گذاری ترنج,سهامی,5271601823961,0.001665
1399-07,مهر 1399,سایر مدیران,اهرمی,2380496686082,0.000772
1399-07,مهر 1399,سایر مدیران,بازنشستگی,19684335840588,0.006383
1399-07,مهر 1399,سایر مدیران,بخشی,144590550814513,0.046886
1399-07,مهر 1399,سایر مدیران,جسورانه,979297360469,0.000318
1399-07,مهر 1399,سایر مدیران,خصوصی,506090113991,0.000164
1399-07,مهر 1399,سایر مدیران,درآمد ثابت,2271955018692793,0.736718
1399-07,مهر 1399,سایر مدیران,سهامی,195022762874723,0.063239
1399-07,مهر 1399,سایر مدیران,شاخصی,6848055768787,0.002221
1399-07,مهر 1399,سایر مدیران,صندوق در صندوق,730925252648,0.000237
1399-07,مهر 1399,سایر مدیران,مختلط,23226418602765,0.007532
1399-07,مهر 1399,سایر مدیران,پروژه‌ای,10357623692665,0.003359
1399-07,مهر 1399,سایر مدیران,کالایی,35023029607333,0.011357
1399-07,مهر 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,243484448973,7.9e-05
1399-07,مهر 1399,سبد گردان اقتصاد بیدار,سهامی,4071229069852,0.00132
1399-07,مهر 1399,سبد گردان کاریزما,درآمد ثابت,86685383942829,0.028109
1399-07,مهر 1399,سبد گردان کاریزما,سهامی,8543339595615,0.00277
1399-07,مهر 1399,سبد گردان کاریزما,شاخصی,2918485917893,0.000946
1399-07,مهر 1399,سبدگردان آگاه,درآمد ثابت,19635214460648,0.006367
1399-07,مهر 1399,سبدگردان آگاه,سهامی,21717990689386,0.007042
1399-07,مهر 1399,سبدگردان آگاه,مختلط,153739288003,5e-05
1399-07,مهر 1399,سبدگردان توسعه فیروزه,جسورانه,53089430475,1.7e-05
1399-07,مهر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1960843947979,0.000636
1399-07,مهر 1399,سبدگردان توسعه فیروزه,سهامی,1180080847009,0.000383
1399-07,مهر 1399,سبدگردان توسعه فیروزه,شاخصی,3274704297952,0.001062
1399-07,مهر 1399,سبدگردان فارابی,درآمد ثابت,8298668776639,0.002691
1399-07,مهر 1399,سبدگردان فارابی,سهامی,6815123166777,0.00221
1399-07,مهر 1399,سبدگردان مفید,درآمد ثابت,124639788677344,0.040416
1399-07,مهر 1399,سبدگردان مفید,سهامی,70429246735196,0.022838
1399-07,مهر 1399,سبدگردان مفید,مختلط,2749123639057,0.000891
1399-07,مهر 1399,سبدگردان مفید,کالایی,3396676594749,0.001101
1399-07,مهر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,986788199673,0.00032
1399-07,مهر 1399,مشاور سرمایه گذاری ترنج,سهامی,4828618492667,0.001566
1399-08,آبان 1399,سایر مدیران,اهرمی,2223557804615,0.000723
1399-08,آبان 1399,سایر مدیران,بازنشستگی,17432274867104,0.005668
1399-08,آبان 1399,سایر مدیران,بخشی,137808835993417,0.044807
1399-08,آبان 1399,سایر مدیران,جسورانه,978073083270,0.000318
1399-08,آبان 1399,سایر مدیران,خصوصی,503312610653,0.000164
1399-08,آبان 1399,سایر مدیران,درآمد ثابت,2307926198498616,0.750403
1399-08,آبان 1399,سایر مدیران,سهامی,172195527819345,0.055988
1399-08,آبان 1399,سایر مدیران,شاخصی,6390722679308,0.002078
1399-08,آبان 1399,سایر مدیران,صندوق در صندوق,751709247274,0.000244
1399-08,آبان 1399,سایر مدیران,مختلط,19734875145199,0.006417
1399-08,آبان 1399,سایر مدیران,پروژه‌ای,10357383334409,0.003368
1399-08,آبان 1399,سایر مدیران,کالایی,29288211922559,0.009523
1399-08,آبان 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,230619969993,7.5e-05
1399-08,آبان 1399,سبد گردان اقتصاد بیدار,سهامی,4108982320677,0.001336
1399-08,آبان 1399,سبد گردان کاریزما,درآمد ثابت,90280203286842,0.029354
1399-08,آبان 1399,سبد گردان کاریزما,سهامی,8503233704280,0.002765
1399-08,آبان 1399,سبد گردان کاریزما,شاخصی,2495591290744,0.000811
1399-08,آبان 1399,سبدگردان آگاه,درآمد ثابت,20396466043735,0.006632
1399-08,آبان 1399,سبدگردان آگاه,سهامی,20397443286930,0.006632
1399-08,آبان 1399,سبدگردان آگاه,مختلط,156328763553,5.1e-05
1399-08,آبان 1399,سبدگردان توسعه فیروزه,جسورانه,53388961378,1.7e-05
1399-08,آبان 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1981376721119,0.000644
1399-08,آبان 1399,سبدگردان توسعه فیروزه,سهامی,1113898206194,0.000362
1399-08,آبان 1399,سبدگردان توسعه فیروزه,شاخصی,3115920784872,0.001013
1399-08,آبان 1399,سبدگردان فارابی,درآمد ثابت,11337330366612,0.003686
1399-08,آبان 1399,سبدگردان فارابی,سهامی,6270840649890,0.002039
1399-08,آبان 1399,سبدگردان مفید,درآمد ثابت,130221874226094,0.042341
1399-08,آبان 1399,سبدگردان مفید,سهامی,58758498951997,0.019105
1399-08,آبان 1399,سبدگردان مفید,مختلط,2470322266533,0.000803
1399-08,آبان 1399,سبدگردان مفید,کالایی,2650336976323,0.000862
1399-08,آبان 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,719786836786,0.000234
1399-08,آبان 1399,مشاور سرمایه گذاری ترنج,سهامی,4730311589521,0.001538
1399-09,آذر 1399,سایر مدیران,اهرمی,2810731663508,0.000836
1399-09,آذر 1399,سایر مدیران,بازنشستگی,19254703584311,0.005724
1399-09,آذر 1399,سایر مدیران,بخشی,249673257750266,0.074224
1399-09,آذر 1399,سایر مدیران,جسورانه,976295727968,0.00029
1399-09,آذر 1399,سایر مدیران,خصوصی,503600804604,0.00015
1399-09,آذر 1399,سایر مدیران,درآمد ثابت,2423708165207615,0.720533
1399-09,آذر 1399,سایر مدیران,سهامی,197505996371859,0.058716
1399-09,آذر 1399,سایر مدیران,شاخصی,7316774947628,0.002175
1399-09,آذر 1399,سایر مدیران,صندوق در صندوق,787371004135,0.000234
1399-09,آذر 1399,سایر مدیران,مختلط,20351100953875,0.00605
1399-09,آذر 1399,سایر مدیران,پروژه‌ای,10357714495277,0.003079
1399-09,آذر 1399,سایر مدیران,کالایی,30369107524729,0.009028
1399-09,آذر 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,181959605203,5.4e-05
1399-09,آذر 1399,سبد گردان اقتصاد بیدار,سهامی,4406311154999,0.00131
1399-09,آذر 1399,سبد گردان کاریزما,درآمد ثابت,94216472068302,0.028009
1399-09,آذر 1399,سبد گردان کاریزما,سهامی,9233138234163,0.002745
1399-09,آذر 1399,سبد گردان کاریزما,شاخصی,2817202410922,0.000838
1399-09,آذر 1399,سبدگردان آگاه,درآمد ثابت,25743042473999,0.007653
1399-09,آذر 1399,سبدگردان آگاه,سهامی,23647846382236,0.00703
1399-09,آذر 1399,سبدگردان آگاه,مختلط,169965401240,5.1e-05
1399-09,آذر 1399,سبدگردان توسعه فیروزه,جسورانه,53691657291,1.6e-05
1399-09,آذر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,2017508263066,0.0006
1399-09,آذر 1399,سبدگردان توسعه فیروزه,سهامی,1400226469752,0.000416
1399-09,آذر 1399,سبدگردان توسعه فیروزه,شاخصی,3186828904927,0.000947
1399-09,آذر 1399,سبدگردان فارابی,درآمد ثابت,12111875973476,0.003601
1399-09,آذر 1399,سبدگردان فارابی,سهامی,8599251388375,0.002556
1399-09,آذر 1399,سبدگردان مفید,درآمد ثابت,132112401097010,0.039275
1399-09,آذر 1399,سبدگردان مفید,سهامی,67017203873992,0.019923
1399-09,آذر 1399,سبدگردان مفید,مختلط,2799594981888,0.000832
1399-09,آذر 1399,سبدگردان مفید,کالایی,2554305798473,0.000759
1399-09,آذر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1769244818536,0.000526
1399-09,آذر 1399,مشاور سرمایه گذاری ترنج,سهامی,6117133795457,0.001819
1399-10,دی 1399,سایر مدیران,اهرمی,2002779504246,0.000594
1399-10,دی 1399,سایر مدیران,بازنشستگی,13339793750108,0.003954
1399-10,دی 1399,سایر مدیران,بخشی,180421692728228,0.053474
1399-10,دی 1399,سایر مدیران,جسورانه,895835985847,0.000266
1399-10,دی 1399,سایر مدیران,خصوصی,504152732784,0.000149
1399-10,دی 1399,سایر مدیران,درآمد ثابت,2569728739501813,0.761621
1399-10,دی 1399,سایر مدیران,سهامی,153769606647184,0.045575
1399-10,دی 1399,سایر مدیران,شاخصی,5363994010689,0.00159
1399-10,دی 1399,سایر مدیران,صندوق در صندوق,728199004873,0.000216
1399-10,دی 1399,سایر مدیران,مختلط,17740771145903,0.005258
1399-10,دی 1399,سایر مدیران,پروژه‌ای,10357552516344,0.00307
1399-10,دی 1399,سایر مدیران,کالایی,27413884817568,0.008125
1399-10,دی 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,318619471563,9.4e-05
1399-10,دی 1399,سبد گردان اقتصاد بیدار,سهامی,3765825489736,0.001116
