دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (ریال),سهم از کل صنعت
1399-Q2,تابستان 1399,سبدگردان توسعه فیروزه,جسورانه,52770753440.0,1.6e-05
1399-Q2,تابستان 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1936754279267.0,0.000571
1399-Q2,تابستان 1399,سبدگردان توسعه فیروزه,سهامی,1386388829750.0,0.000409
1399-Q2,تابستان 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3844515054337.0,0.001133
1399-Q2,تابستان 1399,سبدگردان فارابی,اختصاصی بازارگردانی,702003808507.0,0.000207
1399-Q2,تابستان 1399,سبدگردان فارابی,درآمد ثابت,9531988704723.0,0.00281
1399-Q2,تابستان 1399,سبدگردان فارابی,سهامی,4872903659663.0,0.001436
1399-Q2,تابستان 1399,سبدگردان مفید,اختصاصی بازارگردانی,2990339122955.0,0.000882
1399-Q2,تابستان 1399,سبدگردان مفید,درآمد ثابت,160119692572379.0,0.047202
1399-Q2,تابستان 1399,سبدگردان مفید,سهامی,82581422511828.0,0.024344
1399-Q2,تابستان 1399,سبدگردان مفید,مختلط,3227597707297.0,0.000951
1399-Q2,تابستان 1399,سبدگردان مفید,کالایی (طلا و ...),3308343045287.0,0.000975
1399-Q2,تابستان 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1300282847177.0,0.000383
1399-Q2,تابستان 1399,مشاور سرمایه گذاری ترنج,سهامی,5271601823961.0,0.001554
1399-Q3,پاییز 1399,سایر مدیران,اختصاصی بازارگردانی,434045005400182.0,0.113019
1399-Q3,پاییز 1399,سایر مدیران,بازنشستگی تکمیلی,19254703584311.0,0.005014
1399-Q3,پاییز 1399,سایر مدیران,جسورانه,976295727968.0,0.000254
1399-Q3,پاییز 1399,سایر مدیران,خصوصی,503600804604.0,0.000131
1399-Q3,پاییز 1399,سایر مدیران,درآمد ثابت,2423708165207615.0,0.631097
1399-Q3,پاییز 1399,سایر مدیران,سهامی,197505996371859.0,0.051428
1399-Q3,پاییز 1399,سایر مدیران,سهامی - اهرمی,2810731663508.0,0.000732
1399-Q3,پاییز 1399,سایر مدیران,سهامی - بخشی,249673257750266.0,0.065011
1399-Q3,پاییز 1399,سایر مدیران,سهامی - شاخصی,7316774947628.0,0.001905
1399-Q3,پاییز 1399,سایر مدیران,صندوق در صندوق,787371004135.0,0.000205
1399-Q3,پاییز 1399,سایر مدیران,مختلط,20351100953875.0,0.005299
1399-Q3,پاییز 1399,سایر مدیران,پروژه‌ای,10357714495277.0,0.002697
1399-Q3,پاییز 1399,سایر مدیران,کالایی (طلا و ...),30369107524729.0,0.007908
1399-Q3,پاییز 1399,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,421369545234.0,0.00011
1399-Q3,پاییز 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,181959605203.0,4.7e-05
1399-Q3,پاییز 1399,سبد گردان اقتصاد بیدار,سهامی,4406311154999.0,0.001147
1399-Q3,پاییز 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,16455286958596.0,0.004285
1399-Q3,پاییز 1399,سبد گردان کاریزما,درآمد ثابت,94216472068302.0,0.024533
1399-Q3,پاییز 1399,سبد گردان کاریزما,سهامی,9233138234163.0,0.002404
1399-Q3,پاییز 1399,سبد گردان کاریزما,سهامی - شاخصی,2817202410922.0,0.000734
1399-Q3,پاییز 1399,سبدگردان آگاه,اختصاصی بازارگردانی,13638508201054.0,0.003551
1399-Q3,پاییز 1399,سبدگردان آگاه,درآمد ثابت,25743042473999.0,0.006703
1399-Q3,پاییز 1399,سبدگردان آگاه,سهامی,23647846382236.0,0.006158
1399-Q3,پاییز 1399,سبدگردان آگاه,مختلط,169965401240.0,4.4e-05
1399-Q3,پاییز 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,537939247163.0,0.00014
1399-Q3,پاییز 1399,سبدگردان توسعه فیروزه,جسورانه,53691657291.0,1.4e-05
1399-Q3,پاییز 1399,سبدگردان توسعه فیروزه,درآمد ثابت,2017508263066.0,0.000525
1399-Q3,پاییز 1399,سبدگردان توسعه فیروزه,سهامی,1400226469752.0,0.000365
1399-Q3,پاییز 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3186828904927.0,0.00083
1399-Q3,پاییز 1399,سبدگردان فارابی,اختصاصی بازارگردانی,1543280572083.0,0.000402
1399-Q3,پاییز 1399,سبدگردان فارابی,درآمد ثابت,12111875973476.0,0.003154
1399-Q3,پاییز 1399,سبدگردان فارابی,سهامی,8599251388375.0,0.002239
1399-Q3,پاییز 1399,سبدگردان مفید,اختصاصی بازارگردانی,2991600987437.0,0.000779
1399-Q3,پاییز 1399,سبدگردان مفید,درآمد ثابت,132112401097010.0,0.0344
1399-Q3,پاییز 1399,سبدگردان مفید,سهامی,74015887801035.0,0.019273
1399-Q3,پاییز 1399,سبدگردان مفید,مختلط,2799594981888.0,0.000729
1399-Q3,پاییز 1399,سبدگردان مفید,کالایی (طلا و ...),2554305798473.0,0.000665
1399-Q3,پاییز 1399,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,64833615079.0,1.7e-05
1399-Q3,پاییز 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1769244818536.0,0.000461
1399-Q3,پاییز 1399,مشاور سرمایه گذاری ترنج,سهامی,6117133795457.0,0.001593
1399-Q4,زمستان 1399,سایر مدیران,اختصاصی بازارگردانی,515926435067439.0,0.119822
1399-Q4,زمستان 1399,سایر مدیران,بازنشستگی تکمیلی,15506857847183.0,0.003601
1399-Q4,زمستان 1399,سایر مدیران,جسورانه,1931109887309.0,0.000448
1399-Q4,زمستان 1399,سایر مدیران,خصوصی,504102035221.0,0.000117
1399-Q4,زمستان 1399,سایر مدیران,درآمد ثابت,2852673484090156.0,0.662524
1399-Q4,زمستان 1399,سایر مدیران,سهامی,165413383325603.0,0.038417
1399-Q4,زمستان 1399,سایر مدیران,سهامی - اهرمی,1442831842699.0,0.000335
1399-Q4,زمستان 1399,سایر مدیران,سهامی - بخشی,230025661851043.0,0.053423
1399-Q4,زمستان 1399,سایر مدیران,سهامی - شاخصی,7416322515360.0,0.001722
1399-Q4,زمستان 1399,سایر مدیران,صندوق در صندوق,776810505363.0,0.00018
1399-Q4,زمستان 1399,سایر مدیران,مختلط,16621691721191.0,0.00386
1399-Q4,زمستان 1399,سایر مدیران,پروژه‌ای,10578714355023.0,0.002457
1399-Q4,زمستان 1399,سایر مدیران,کالایی (طلا و ...),27428167241643.0,0.00637
1399-Q4,زمستان 1399,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,397122609084.0,9.2e-05
1399-Q4,زمستان 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,461936817596.0,0.000107
1399-Q4,زمستان 1399,سبد گردان اقتصاد بیدار,سهامی,4241533010294.0,0.000985
1399-Q4,زمستان 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,18308227151246.0,0.004252
1399-Q4,زمستان 1399,سبد گردان کاریزما,درآمد ثابت,113157234755372.0,0.02628
1399-Q4,زمستان 1399,سبد گردان کاریزما,سهامی,8599198587031.0,0.001997
1399-Q4,زمستان 1399,سبد گردان کاریزما,سهامی - شاخصی,2200678105427.0,0.000511
1399-Q4,زمستان 1399,سبدگردان آگاه,اختصاصی بازارگردانی,13998232141464.0,0.003251
1399-Q4,زمستان 1399,سبدگردان آگاه,درآمد ثابت,26402814708432.0,0.006132
1399-Q4,زمستان 1399,سبدگردان آگاه,سهامی,20313282181137.0,0.004718
1399-Q4,زمستان 1399,سبدگردان آگاه,مختلط,164741922996.0,3.8e-05
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,966206599008.0,0.000224
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,جسورانه,54206685784.0,1.3e-05
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,خصوصی,1002200399657.0,0.000233
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,درآمد ثابت,2094171074716.0,0.000486
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,سهامی,1431729223016.0,0.000333
1399-Q4,زمستان 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,2622023603586.0,0.000609
1399-Q4,زمستان 1399,سبدگردان فارابی,اختصاصی بازارگردانی,2373378746906.0,0.000551
1399-Q4,زمستان 1399,سبدگردان فارابی,درآمد ثابت,12431623021989.0,0.002887
1399-Q4,زمستان 1399,سبدگردان فارابی,سهامی,7965064043793.0,0.00185
1399-Q4,زمستان 1399,سبدگردان مفید,اختصاصی بازارگردانی,3783175560391.0,0.000879
1399-Q4,زمستان 1399,سبدگردان مفید,درآمد ثابت,131036878606286.0,0.030433
1399-Q4,زمستان 1399,سبدگردان مفید,سهامی,68214790195987.0,0.015843
1399-Q4,زمستان 1399,سبدگردان مفید,مختلط,3322027065674.0,0.000772
1399-Q4,زمستان 1399,سبدگردان مفید,کالایی (طلا و ...),2155437627390.0,0.000501
1399-Q4,زمستان 1399,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,1298465651536.0,0.000302
1399-Q4,زمستان 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,3567989019731.0,0.000829
1399-Q4,زمستان 1399,مشاور سرمایه گذاری ترنج,سهامی,6953967866572.0,0.001615
1400-Q1,بهار 1400,سایر مدیران,اختصاصی بازارگردانی,525785933798872.0,0.117326
1400-Q1,بهار 1400,سایر مدیران,بازنشستگی تکمیلی,12523352228738.0,0.002795
1400-Q1,بهار 1400,سایر مدیران,جسورانه,2121753562031.0,0.000473
1400-Q1,بهار 1400,سایر مدیران,خصوصی,505695532237.0,0.000113
1400-Q1,بهار 1400,سایر مدیران,درآمد ثابت,3079574294624845.0,0.687188
1400-Q1,بهار 1400,سایر مدیران,سهامی,135576266047862.0,0.030253
1400-Q1,بهار 1400,سایر مدیران,سهامی - اهرمی,1126855692417.0,0.000251
1400-Q1,بهار 1400,سایر مدیران,سهامی - بخشی,195931033154845.0,0.043721
1400-Q1,بهار 1400,سایر مدیران,سهامی - شاخصی,6219699792275.0,0.001388
1400-Q1,بهار 1400,سایر مدیران,صندوق در صندوق,758033786954.0,0.000169
1400-Q1,بهار 1400,سایر مدیران,مختلط,14632960010687.0,0.003265
1400-Q1,بهار 1400,سایر مدیران,پروژه‌ای,10578246984617.0,0.00236
1400-Q1,بهار 1400,سایر مدیران,کالایی (طلا و ...),25986538848665.0,0.005799
1400-Q1,بهار 1400,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,387218438714.0,8.6e-05
1400-Q1,بهار 1400,سبد گردان اقتصاد بیدار,درآمد ثابت,1187964766586.0,0.000265
1400-Q1,بهار 1400,سبد گردان اقتصاد بیدار,سهامی,3641435978813.0,0.000813
1400-Q1,بهار 1400,سبد گردان کاریزما,اختصاصی بازارگردانی,17987604834311.0,0.004014
1400-Q1,بهار 1400,سبد گردان کاریزما,درآمد ثابت,116188029477483.0,0.025927
1400-Q1,بهار 1400,سبد گردان کاریزما,سهامی,7556180762983.0,0.001686
1400-Q1,بهار 1400,سبد گردان کاریزما,سهامی - شاخصی,1915318667273.0,0.000427
1400-Q1,بهار 1400,سبدگردان آگاه,اختصاصی بازارگردانی,21324213196445.0,0.004758
1400-Q1,بهار 1400,سبدگردان آگاه,درآمد ثابت,33398246442391.0,0.007453
1400-Q1,بهار 1400,سبدگردان آگاه,سهامی,16435690583237.0,0.003668
1400-Q1,بهار 1400,سبدگردان آگاه,مختلط,159426210957.0,3.6e-05
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,1092325014401.0,0.000244
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,جسورانه,149185821897.0,3.3e-05
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,خصوصی,1015301623343.0,0.000227
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,درآمد ثابت,2201317830002.0,0.000491
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,سهامی,1197608050316.0,0.000267
1400-Q1,بهار 1400,سبدگردان توسعه فیروزه,سهامی - شاخصی,2300180551036.0,0.000513
1400-Q1,بهار 1400,سبدگردان فارابی,اختصاصی بازارگردانی,3189518376804.0,0.000712
1400-Q1,بهار 1400,سبدگردان فارابی,درآمد ثابت,10820320632841.0,0.002414
1400-Q1,بهار 1400,سبدگردان فارابی,سهامی,5771347184643.0,0.001288
1400-Q1,بهار 1400,سبدگردان مفید,اختصاصی بازارگردانی,3817026345744.0,0.000852
1400-Q1,بهار 1400,سبدگردان مفید,درآمد ثابت,131416670005407.0,0.029325
1400-Q1,بهار 1400,سبدگردان مفید,سهامی,67264066335227.0,0.01501
1400-Q1,بهار 1400,سبدگردان مفید,مختلط,2984452491126.0,0.000666
1400-Q1,بهار 1400,سبدگردان مفید,کالایی (طلا و ...),1955321544948.0,0.000436
1400-Q1,بهار 1400,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,2212077072297.0,0.000494
1400-Q1,بهار 1400,مشاور سرمایه گذاری ترنج,درآمد ثابت,6849134700175.0,0.001528
1400-Q1,بهار 1400,مشاور سرمایه گذاری ترنج,سهامی,5674673522646.0,0.001266
1400-Q2,تابستان 1400,سایر مدیران,اختصاصی بازارگردانی,647520374285153.0,0.129606
1400-Q2,تابستان 1400,سایر مدیران,بازنشستگی تکمیلی,14525873193113.0,0.002907
1400-Q2,تابستان 1400,سایر مدیران,جسورانه,2132078944192.0,0.000427
1400-Q2,تابستان 1400,سایر مدیران,خصوصی,509780468553.0,0.000102
1400-Q2,تابستان 1400,سایر مدیران,درآمد ثابت,3297918709889790.0,0.660101
1400-Q2,تابستان 1400,سایر مدیران,سهامی,152462719560306.0,0.030516
1400-Q2,تابستان 1400,سایر مدیران,سهامی - اهرمی,1378909409422.0,0.000276
1400-Q2,تابستان 1400,سایر مدیران,سهامی - بخشی,219867189560963.0,0.044008
1400-Q2,تابستان 1400,سایر مدیران,سهامی - شاخصی,8298828629174.0,0.001661
1400-Q2,تابستان 1400,سایر مدیران,صندوق در صندوق,1371415735422.0,0.000274
1400-Q2,تابستان 1400,سایر مدیران,مختلط,14720266505339.0,0.002946
1400-Q2,تابستان 1400,سایر مدیران,پروژه‌ای,10577541532228.0,0.002117
1400-Q2,تابستان 1400,سایر مدیران,کالایی (طلا و ...),33240049078226.0,0.006653
1400-Q2,تابستان 1400,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,349794565597.0,7e-05
1400-Q2,تابستان 1400,سبد گردان اقتصاد بیدار,درآمد ثابت,2137586574215.0,0.000428
1400-Q2,تابستان 1400,سبد گردان اقتصاد بیدار,سهامی,4361006520085.0,0.000873
1400-Q2,تابستان 1400,سبد گردان کاریزما,اختصاصی بازارگردانی,17063780536106.0,0.003415
1400-Q2,تابستان 1400,سبد گردان کاریزما,درآمد ثابت,151296762003867.0,0.030283
1400-Q2,تابستان 1400,سبد گردان کاریزما,سهامی,8385689989254.0,0.001678
1400-Q2,تابستان 1400,سبد گردان کاریزما,سهامی - شاخصی,2416452052817.0,0.000484
1400-Q2,تابستان 1400,سبد گردان کاریزما,مختلط,362716240231.0,7.3e-05
1400-Q2,تابستان 1400,سبد گردان کاریزما,کالایی (طلا و ...),1114554989530.0,0.000223
1400-Q2,تابستان 1400,سبدگردان آگاه,اختصاصی بازارگردانی,25457542999636.0,0.005095
1400-Q2,تابستان 1400,سبدگردان آگاه,درآمد ثابت,38614514479375.0,0.007729
1400-Q2,تابستان 1400,سبدگردان آگاه,سهامی,23101484858753.0,0.004624
1400-Q2,تابستان 1400,سبدگردان آگاه,مختلط,185006847860.0,3.7e-05
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,1172848415780.0,0.000235
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,جسورانه,151308979237.0,3e-05
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,خصوصی,1021027612876.0,0.000204
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,درآمد ثابت,2309258463279.0,0.000462
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,سهامی,1508146274498.0,0.000302
1400-Q2,تابستان 1400,سبدگردان توسعه فیروزه,سهامی - شاخصی,2616157703701.0,0.000524
1400-Q2,تابستان 1400,سبدگردان فارابی,اختصاصی بازارگردانی,4044051699451.0,0.000809
1400-Q2,تابستان 1400,سبدگردان فارابی,درآمد ثابت,10312284020822.0,0.002064
1400-Q2,تابستان 1400,سبدگردان فارابی,سهامی,6772340625707.0,0.001356
1400-Q2,تابستان 1400,سبدگردان مفید,اختصاصی بازارگردانی,4505575082606.0,0.000902
1400-Q2,تابستان 1400,سبدگردان مفید,درآمد ثابت,155229597476379.0,0.03107
1400-Q2,تابستان 1400,سبدگردان مفید,سهامی,96927097099388.0,0.019401
1400-Q2,تابستان 1400,سبدگردان مفید,مختلط,3815236867218.0,0.000764
1400-Q2,تابستان 1400,سبدگردان مفید,کالایی (طلا و ...),2643962906213.0,0.000529
1400-Q2,تابستان 1400,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,2704802176408.0,0.000541
1400-Q2,تابستان 1400,مشاور سرمایه گذاری ترنج,درآمد ثابت,11959297231939.0,0.002394
1400-Q2,تابستان 1400,مشاور سرمایه گذاری ترنج,سهامی,9021274766679.0,0.001806
1400-Q3,پاییز 1400,سایر مدیران,اختصاصی بازارگردانی,595968746563073.0,0.119808
1400-Q3,پاییز 1400,سایر مدیران,بازنشستگی تکمیلی,13428979751377.0,0.0027
1400-Q3,پاییز 1400,سایر مدیران,جسورانه,3680608668224.0,0.00074
1400-Q3,پاییز 1400,سایر مدیران,خصوصی,10559204783273.0,0.002123
1400-Q3,پاییز 1400,سایر مدیران,درآمد ثابت,3398505369264937.0,0.683206
1400-Q3,پاییز 1400,سایر مدیران,سهامی,135960401164002.0,0.027332
1400-Q3,پاییز 1400,سایر مدیران,سهامی - اهرمی,1541347071964.0,0.00031
1400-Q3,پاییز 1400,سایر مدیران,سهامی - بخشی,187904064799532.0,0.037775
1400-Q3,پاییز 1400,سایر مدیران,سهامی - شاخصی,8402590586953.0,0.001689
1400-Q3,پاییز 1400,سایر مدیران,صندوق در صندوق,1531795648111.0,0.000308
1400-Q3,پاییز 1400,سایر مدیران,مختلط,13539663761841.0,0.002722
1400-Q3,پاییز 1400,سایر مدیران,پروژه‌ای,10577109231710.0,0.002126
1400-Q3,پاییز 1400,سایر مدیران,کالایی (طلا و ...),37252972545392.0,0.007489
1400-Q3,پاییز 1400,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,382436416242.0,7.7e-05
1400-Q3,پاییز 1400,سبد گردان اقتصاد بیدار,درآمد ثابت,5926798635831.0,0.001191
1400-Q3,پاییز 1400,سبد گردان اقتصاد بیدار,سهامی,3701980982010.0,0.000744
1400-Q3,پاییز 1400,سبد گردان کاریزما,اختصاصی بازارگردانی,15125572642976.0,0.003041
1400-Q3,پاییز 1400,سبد گردان کاریزما,درآمد ثابت,114542333763833.0,0.023027
1400-Q3,پاییز 1400,سبد گردان کاریزما,سهامی,7721498603737.0,0.001552
1400-Q3,پاییز 1400,سبد گردان کاریزما,سهامی - اهرمی,5000377673996.0,0.001005
1400-Q3,پاییز 1400,سبد گردان کاریزما,سهامی - شاخصی,2236320769844.0,0.00045
1400-Q3,پاییز 1400,سبد گردان کاریزما,مختلط,335071110852.0,6.7e-05
1400-Q3,پاییز 1400,سبد گردان کاریزما,کالایی (طلا و ...),1691124032183.0,0.00034
1400-Q3,پاییز 1400,سبدگردان آگاه,اختصاصی بازارگردانی,24650146253398.0,0.004955
1400-Q3,پاییز 1400,سبدگردان آگاه,درآمد ثابت,37136564310875.0,0.007466
1400-Q3,پاییز 1400,سبدگردان آگاه,سهامی,22228287247445.0,0.004469
1400-Q3,پاییز 1400,سبدگردان آگاه,مختلط,191074248697.0,3.8e-05
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,1228304973152.0,0.000247
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,جسورانه,206055355154.0,4.1e-05
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,خصوصی,1025341934339.0,0.000206
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,درآمد ثابت,2023744849177.0,0.000407
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,سهامی,1622837854124.0,0.000326
1400-Q3,پاییز 1400,سبدگردان توسعه فیروزه,سهامی - شاخصی,2556891607448.0,0.000514
1400-Q3,پاییز 1400,سبدگردان فارابی,اختصاصی بازارگردانی,3976850459578.0,0.000799
1400-Q3,پاییز 1400,سبدگردان فارابی,درآمد ثابت,8852864506567.0,0.00178
1400-Q3,پاییز 1400,سبدگردان فارابی,سهامی,5584367112396.0,0.001123
1400-Q3,پاییز 1400,سبدگردان مفید,اختصاصی بازارگردانی,4267965532968.0,0.000858
1400-Q3,پاییز 1400,سبدگردان مفید,درآمد ثابت,147149094976840.0,0.029582
1400-Q3,پاییز 1400,سبدگردان مفید,سهامی,98408158270230.0,0.019783
1400-Q3,پاییز 1400,سبدگردان مفید,مختلط,3704109190683.0,0.000745
1400-Q3,پاییز 1400,سبدگردان مفید,کالایی (طلا و ...),3409206379721.0,0.000685
1400-Q3,پاییز 1400,مشاور سرمایه گذاری ترنج,اختصاصی بازارگردانی,3740621990627.0,0.000752
1400-Q3,پاییز 1400,مشاور سرمایه گذاری ترنج,درآمد ثابت,17217141873349.0,0.003461
1400-Q3,پاییز 1400,مشاور سرمایه گذاری ترنج,سهامی,8983157053687.0,0.001806
1400-Q3,پاییز 1400,مشاور سرمایه گذاری ترنج,مختلط,670417860534.0,0.000135
1400-Q4,زمستان 1400,سایر مدیران,اختصاصی بازارگردانی,727775497395333.0,0.135551
1400-Q4,زمستان 1400,سایر مدیران,بازنشستگی تکمیلی,13991945997980.0,0.002606
1400-Q4,زمستان 1400,سایر مدیران,جسورانه,3947884062128.0,0.000735
1400-Q4,زمستان 1400,سایر مدیران,خصوصی,10881897379596.0,0.002027
1400-Q4,زمستان 1400,سایر مدیران,درآمد ثابت,3567212762453985.0,0.664406
